scheduling process 8, rbi 186737660, rtime 0, wtime 11, stime 11
scheduling process 10, rbi 134, rtime 22, wtime 1, stime 0
scheduling process 11, rbi 82, rtime 16, wtime 7, stime 0
scheduling process 4, rbi 171798643, rtime 0, wtime 12, stime 12
scheduling process 9, rbi 82, rtime 17, wtime 7, stime 0
scheduling process 5, rbi 171798643, rtime 0, wtime 12, stime 12
scheduling process 6, rbi 171798643, rtime 0, wtime 12, stime 12
scheduling process 7, rbi 171798643, rtime 0, wtime 12, stime 12
scheduling process 8, rbi 171798643, rtime 0, wtime 12, stime 12
scheduling process 9, rbi 88, rtime 18, wtime 7, stime 0
scheduling process 11, rbi 80, rtime 17, wtime 8, stime 0
scheduling process 4, rbi 159072814, rtime 0, wtime 13, stime 13
scheduling process 10, rbi 128, rtime 24, wtime 2, stime 0
scheduling process 5, rbi 159072814, rtime 0, wtime 13, stime 13
scheduling process 6, rbi 159072814, rtime 0, wtime 13, stime 13
scheduling process 7, rbi 159072814, rtime 0, wtime 13, stime 13
scheduling process 8, rbi 159072814, rtime 0, wtime 13, stime 13
scheduling process 11, rbi 77, rtime 18, wtime 9, stime 0
scheduling process 10, rbi 129, rtime 25, wtime 2, stime 0
scheduling process 4, rbi 148102272, rtime 0, wtime 14, stime 14
scheduling process 9, rbi 85, rtime 20, wtime 8, stime 0
scheduling process 5, rbi 148102272, rtime 0, wtime 14, stime 14
scheduling process 6, rbi 148102272, rtime 0, wtime 14, stime 14
scheduling process 7, rbi 148102272, rtime 0, wtime 14, stime 14
scheduling process 8, rbi 148102272, rtime 0, wtime 14, stime 14
scheduling process 11, rbi 75, rtime 19, wtime 10, stime 0
scheduling process 9, rbi 89, rtime 21, wtime 8, stime 0
scheduling process 4, rbi 138547283, rtime 0, wtime 15, stime 15
scheduling process 10, rbi 124, rtime 27, wtime 3, stime 0
scheduling process 5, rbi 138547283, rtime 0, wtime 15, stime 15
scheduling process 6, rbi 138547283, rtime 0, wtime 15, stime 15
scheduling process 7, rbi 138547283, rtime 0, wtime 15, stime 15
scheduling process 8, rbi 138547283, rtime 0, wtime 15, stime 15
scheduling process 11, rbi 74, rtime 19, wtime 11, stime 0
scheduling process 10, rbi 125, rtime 27, wtime 3, stime 0
scheduling process 4, rbi 134217679, rtime 0, wtime 15, stime 16
scheduling process 5, rbi 130150475, rtime 0, wtime 16, stime 16
scheduling process 9, rbi 87, rtime 23, wtime 9, stime 0
scheduling process 4, rbi 130150475, rtime 0, wtime 15, stime 17
scheduling process 6, rbi 130150475, rtime 0, wtime 16, stime 16
scheduling process 7, rbi 130150475, rtime 0, wtime 16, stime 16
scheduling process 8, rbi 130150475, rtime 0, wtime 16, stime 16
scheduling process 10, rbi 120, rtime 28, wtime 4, stime 0
scheduling process 11, rbi 66, rtime 20, wtime 13, stime 0
scheduling process 4, rbi 122713302, rtime 0, wtime 16, stime 18
scheduling process 9, rbi 90, rtime 25, wtime 9, stime 0
scheduling process 5, rbi 122713302, rtime 0, wtime 17, stime 17
scheduling process 6, rbi 122713302, rtime 0, wtime 17, stime 17
scheduling process 7, rbi 122713302, rtime 0, wtime 17, stime 17
scheduling process 8, rbi 122713302, rtime 0, wtime 17, stime 17
scheduling process 10, rbi 116, rtime 29, wtime 5, stime 0
scheduling process 9, rbi 94, rtime 25, wtime 9, stime 0
scheduling process 11, rbi 65, rtime 22, wtime 14, stime 0
scheduling process 4, rbi 116080148, rtime 0, wtime 17, stime 19
scheduling process 5, rbi 116080148, rtime 0, wtime 18, stime 18
scheduling process 6, rbi 116080148, rtime 0, wtime 18, stime 18
scheduling process 7, rbi 116080148, rtime 0, wtime 18, stime 18
scheduling process 8, rbi 116080148, rtime 0, wtime 18, stime 18
scheduling process 9, rbi 94, rtime 26, wtime 10, stime 0
scheduling process 10, rbi 117, rtime 31, wtime 5, stime 0
scheduling process 4, rbi 116080148, rtime 0, wtime 17, stime 20
scheduling process 5, rbi 110127317, rtime 0, wtime 19, stime 19
scheduling process 11, rbi 70, rtime 24, wtime 14, stime 0
scheduling process 4, rbi 110127317, rtime 0, wtime 17, stime 21
scheduling process 6, rbi 110127317, rtime 0, wtime 19, stime 19
scheduling process 7, rbi 110127317, rtime 0, wtime 19, stime 19
scheduling process 8, rbi 110127317, rtime 0, wtime 19, stime 19
scheduling process 9, rbi 91, rtime 28, wtime 11, stime 0
scheduling process 10, rbi 110, rtime 32, wtime 7, stime 0
scheduling process 4, rbi 104755251, rtime 0, wtime 18, stime 22
scheduling process 11, rbi 74, rtime 26, wtime 14, stime 0
scheduling process 5, rbi 104755251, rtime 0, wtime 20, stime 20
scheduling process 6, rbi 104755251, rtime 0, wtime 20, stime 20
scheduling process 7, rbi 104755251, rtime 0, wtime 20, stime 20
scheduling process 8, rbi 104755251, rtime 0, wtime 20, stime 20
scheduling process 11, rbi 78, rtime 27, wtime 14, stime 0
scheduling process 9, rbi 87, rtime 29, wtime 12, stime 0
scheduling process 4, rbi 99882911, rtime 0, wtime 19, stime 23
scheduling process 10, rbi 107, rtime 34, wtime 8, stime 0
scheduling process 5, rbi 99882911, rtime 0, wtime 21, stime 21
scheduling process 6, rbi 99882911, rtime 0, wtime 21, stime 21
scheduling process 7, rbi 99882911, rtime 0, wtime 21, stime 21
scheduling process 8, rbi 99882911, rtime 0, wtime 21, stime 21
scheduling process 10, rbi 109, rtime 35, wtime 8, stime 0
scheduling process 9, rbi 86, rtime 30, wtime 13, stime 0
scheduling process 4, rbi 95443668, rtime 0, wtime 20, stime 24
scheduling process 11, rbi 76, rtime 29, wtime 15, stime 0
scheduling process 5, rbi 95443668, rtime 0, wtime 22, stime 22
scheduling process 6, rbi 95443668, rtime 0, wtime 22, stime 22
scheduling process 7, rbi 95443668, rtime 0, wtime 22, stime 22
scheduling process 8, rbi 95443668, rtime 0, wtime 22, stime 22
scheduling process 10, rbi 106, rtime 36, wtime 9, stime 0
scheduling process 9, rbi 84, rtime 31, wtime 14, stime 0
scheduling process 4, rbi 91382233, rtime 0, wtime 21, stime 25
scheduling process 11, rbi 80, rtime 31, wtime 15, stime 0
scheduling process 5, rbi 91382233, rtime 0, wtime 23, stime 23
scheduling process 6, rbi 91382233, rtime 0, wtime 23, stime 23
scheduling process 7, rbi 91382233, rtime 0, wtime 23, stime 23
scheduling process 8, rbi 91382233, rtime 0, wtime 23, stime 23
scheduling process 11, rbi 82, rtime 32, wtime 15, stime 0
scheduling process 10, rbi 104, rtime 37, wtime 10, stime 0
scheduling process 4, rbi 87652344, rtime 0, wtime 22, stime 26
scheduling process 9, rbi 82, rtime 33, wtime 15, stime 0
scheduling process 5, rbi 87652344, rtime 0, wtime 24, stime 24
